X-coordinate,Y-coordinate,Z-coordinate,r-value
0.0,0.0,7499.26,7499.26
661.7279520047292,350.189924537281,7461.794886794123,7499.259950041653
1316.8441108213185,696.8808532249893,7349.773889180901,7499.259800665778
1958.8027471592993,1036.6087515768586,7164.316292753275,7499.259553364891
2581.189599393226,1365.979158488787,6907.275142809683,7499.25921060994
3177.7859636668654,1681.7011030602155,6581.218728767907,7499.258775825619
3742.63082993031,1980.619987312898,6189.404921900176,7499.258253356149
4270.080443035229,2259.7491062368476,5735.7486228289135,7499.257648421873
4754.864693747449,2516.299490211804,5224.782644074119,7499.256967067094
5192.139776217474,2747.7077716185368,4661.612418543307,7499.256216099683
5577.536585761735,2951.6617972001086,4051.8649865474645,7499.2554030230585
5907.20437337694,3126.1237302612585,3401.632771095174,7499.254535961214
6177.849220811461,3269.350411879238,2717.4127032906154,7499.253623577545
6386.766951777119,3379.910777690777,2006.0413061191698,7499.252674988286
6531.87015048454,3456.700156243592,1274.6263852829277,7499.251699671429
6611.709017569755,3498.951306062806,530.476009644038,7499.250707372016
6625.485855060067,3506.242081171336,-218.97450909181913,7499.249708004777
6573.063035688075,3478.499648492932,-966.2369078366777,7499.248711555057
6454.964376967799,3416.001215020513,-1703.844792419215,7499.247727979053
6272.369906345426,3319.3712575063164,-2424.4282391396887,7499.246767104331
6027.104069770971,3189.5752823757875,-3120.7874321942622,7499.245838531635
5721.617501546105,3027.9101782348425,-3785.964601224588,7499.244951538954
5358.962537633365,2835.9912573838687,-4413.313540241502,7499.244114988827
4942.762717120081,2615.736115831475,-4996.5660133453575,7499.243337239787
4477.176576592361,2369.34547308613,-5529.89438377777,7499.2426260628445
3966.856099190628,2099.2811831770573,-6007.969840579415,7499.241988563845
3416.900233518795,1808.2416366156667,-6426.015641118722,7499.241431112467
2832.8039468313227,1499.1347990732647,-6779.854837557066,7499.24095927858
2220.4033215340437,1175.0491561595359,-7065.952010430044,7499.240577776593
1585.817243560537,839.2228546035708,-7281.448592400483,7499.240290418348
935.3862652312966,495.0113481562826,-7424.191429279457,7499.240100075034
275.6092534280843,145.85387146992912,-7492.754292976407,7499.240008648498
-386.9215439609587,-204.76092308182868,-7486.452131454209,7499.240017052242
-1045.586364569744,-553.3298223183897,-7405.347913326095,7499.240125202301
-1693.8040729807894,-896.3700546442125,-7250.2519987140695,7499.240332018074
-2325.0979162285253,-1230.454088208197,-7022.714042654233,7499.240635433127
-2933.160236413032,-1552.2438771604018,-6725.007511937279,7499.241032415836
-3511.91549387544,-1858.524213849076,-6360.10697006764,7499.241518999683
-4055.5809712624723,-2146.234853731988,-5931.658357274975,7499.242090322881
-4558.724551973851,-2412.5010920357254,-5443.942562495797,7499.242740676958
-5016.318995711437,-2654.6624866627417,-4901.83265126161,7499.243463563791
-5423.792168841336,-2870.2994403640805,-4310.745176813919,7499.244251760535
-5777.072727690139,-3057.257376580845,-3676.586060882511,7499.245097391787
-6072.63079832108,-3213.6682673964324,-3005.6915848209924,7499.245992008279
-6307.51324632094,-3337.9692984938993,-2304.7650806507318,7499.246926671301
-6479.373184175599,-3428.9184846148364,-1580.8099545325842,7499.247892042005
-6586.4934213811175,-3485.607079481913,-841.0597118358106,7499.248878474731
-6627.803622953133,-3507.468656172601,-92.90568293929222,7499.249876113366
-6602.891004856243,-3494.284767196859,656.1768281189961,7499.250874989834
-6512.004459448416,-3446.187127704076,1398.7032342608907,7499.251865123694
-6356.052069678807,-3363.6562999834455,2127.2544489774546,7499.252836621855
-6136.592036834495,-3247.516892379655,2834.5510157120634,7499.253779777428
-5855.817112442807,-3098.9293205734343,3513.5258423280657,7499.254685166713
-5516.532689843212,-2919.3782135257784,4157.394813900623,7499.255543743362
-5122.128774297902,-2710.657579912536,4759.72457826327,7499.25634692876
-4676.546111679555,-2474.8528832472143,5314.496826982221,7499.257086697743
-4184.236814147348,-2214.320204780923,5816.168429442312,7499.257755658785
-3650.1198762142412,-1931.6627023704139,6259.726819159401,7499.2583471278485
-3079.532025670229,-1629.704600527273,6640.740078870338,7499.258855195169
-2478.1744004473694,-1311.4629715334797,6955.401223919606,7499.259274784307
-1852.0555842261492,-980.1175895836571,7200.566241432552,7499.259601702866
-1207.4315699729402,-638.9791591722468,7373.785505158774,7499.2598326843845
-550.7432513001328,-291.45623519139474,7473.3282520628745,7499.25996542097
111.44793375252259,58.978834719608244,7498.199876071253,7499.2599985863635
772.5255634517267,408.8246052606635,7448.151866160204,7499.2599318491875
1425.8843425181733,754.5855193098464,7323.684289474787,7499.259765876257
2064.996101095126,1092.8068349258936,7126.040794664789,7499.25950232592
2683.4750230566865,1420.1091445131872,6857.1961853691355,7499.259143831482
3275.14145187653,1733.2221412242327,6519.836688025886,7499.2586939749035
3834.083636493746,2029.01729519773,6117.333111189472,7499.258157251002
4354.71680020054,2304.539113125689,5653.707164570118,7499.257539022544
4831.838942329952,2557.0346688010677,5133.591274362598,7499.256845466664
5260.682815173875,2783.9811095771033,4562.182296419229,7499.256083513145
5636.96355678539,2983.110863897693,3945.189589795792,7499.255260775174
5956.92150373255,3152.434298032645,3288.777969549832,7499.254385473276
6217.359756039631,3290.259595642842,2599.5061088347534,7499.253466353179
6415.67611899414,3395.209661553087,1884.2610058000598,7499.252512598426
6549.889102690046,3466.2358808475933,1150.1891701228699,7499.25153373862
6618.6577195572845,3502.628595827086,404.62521676631854,7499.250539554206
6621.294882101583,3504.0241961634215,-344.98141954034185,7499.249539978744
6557.774267027281,3470.4087514296125,-1091.1409168366467,7499.248544999662
6428.73057720007,3402.118149731892,-1826.3979017655834,7499.247564558463
6235.4531988741355,3299.834741080842,-2543.405940972836,7499.24660845139
5979.873317599706,3164.5805190616693,-3235.000943786104,7499.24568623155
5664.544621583294,2997.706908950611,-3894.272742777491,7499.244807113459
5292.617785341106,2800.881264329646,-4514.634137025853,7499.243979880973
4867.808988625887,2576.070207136444,-5089.886708255577,7499.243212799527
4394.362785198614,2325.5199776223762,-5614.282752278302,7499.242513533544
3877.009692463553,2051.733990563566,-6082.582706983099,7499.241889069859
3320.9189257243256,1757.4478219797472,-6490.107503120397,7499.241345647908
2731.64674932396,1445.6018762849997,-6832.785314855122,7499.240888697381
2115.0809607179563,1119.3120069662214,-7107.19224301939,7499.240522783979
1477.3820621600428,781.838384328762,-7310.586524614315,7499.240251563786
824.9217077693904,436.5529213595367,-7440.9359267894715,7499.240077746746
164.21904096497377,86.90558316130772,-7496.938051620739,7499.24000306958
-498.1244416730823,-263.6100834356552,-7478.0333488326005,7499.240028278438
-1155.490849335969,-611.4918556887405,-7384.41070646237,7499.240153121442
-1801.3120197139083,-953.2638274394712,-7217.005563613331,7499.240376351202
-2429.135144884711,-1285.511138680076,-6977.490564151092,7499.240695737279
-3032.687244691349,-1604.914095205167,-6668.258844716678,7499.241108088474
-3605.937843449758,-1908.2813374562904,-6292.400124016276,7499.241609284709
-4143.159223775214,-2192.5817271648407,-5853.6698322669035,7499.242194318198
-4638.98365551855,-2454.9746332071386,-5356.451589210756,7499.24285734348
-5088.457028020587,-2692.838314076525,-4805.713405564278,7499.243591735824
-5487.0883498220055,-2903.7961133910653,-4206.958045477775,7499.244390157426
-5830.894621249114,-3085.7402067027565,-3566.168045920248,7499.24524463072
-6116.440631520067,-3236.852662336174,-2889.7459422904185,7499.246146618092
-6340.873282720428,-3355.623605817483,-2184.450297454331,7499.247087107183
-6501.950097674997,-3440.866306390669,-1457.328173344044,7499.248056700935
-6598.061626848239,-3491.729034867491,-715.6447198022232,7499.24904571149
-6628.247530358748,-3507.7035743144193,33.18941583275789,7499.25004425698
-6592.206174384625,-3488.6302985210023,781.6921331240836,7499.251042360269
